Code,State Code,County Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%),State,Unemployed Rate Category
CN0811100000000,8.0,111.0,"San Juan County, CO",2015.0,470.0,451.0,19.0,4.0,CO,Low
CN0811300000000,8.0,113.0,"San Miguel County, CO",2015.0,5073.0,4888.0,185.0,3.6,CO,Low
CN0811500000000,8.0,115.0,"Sedgwick County, CO",2015.0,1146.0,1109.0,37.0,3.2,CO,Low
CN0811700000000,8.0,117.0,"Summit County, CO",2015.0,20570.0,20070.0,500.0,2.4,CO,Low
CN0811900000000,8.0,119.0,"Teller County, CO",2015.0,11402.0,10912.0,490.0,4.3,CO,Low
CN0812100000000,8.0,121.0,"Washington County, CO",2015.0,2786.0,2717.0,69.0,2.5,CO,Low
CN0812300000000,8.0,123.0,"Weld County, CO",2015.0,147778.0,142298.0,5480.0,3.7,CO,Low
CN0812500000000,8.0,125.0,"Yuma County, CO",2015.0,5133.0,5004.0,129.0,2.5,CO,Low
CN0900100000000,9.0,1.0,"Fairfield County, CT",2015.0,478980.0,453717.0,25263.0,5.3,CT,Medium
CN0900300000000,9.0,3.0,"Hartford County, CT",2015.0,474848.0,447512.0,27336.0,5.8,CT,Medium
CN0900500000000,9.0,5.0,"Litchfield County, CT",2015.0,105269.0,99923.0,5346.0,5.1,CT,Medium
CN0900700000000,9.0,7.0,"Middlesex County, CT",2015.0,92376.0,87904.0,4472.0,4.8,CT,Medium
CN0900900000000,9.0,9.0,"New Haven County, CT",2015.0,456465.0,428595.0,27870.0,6.1,CT,Medium
CN0901100000000,9.0,11.0,"New London County, CT",2015.0,136379.0,128425.0,7954.0,5.8,CT,Medium
CN0901300000000,9.0,13.0,"Tolland County, CT",2015.0,85231.0,81082.0,4149.0,4.9,CT,Medium
CN0901500000000,9.0,15.0,"Windham County, CT",2015.0,62540.0,58631.0,3909.0,6.3,CT,Medium
CN1000100000000,10.0,1.0,"Kent County, DE",2015.0,75799.0,71772.0,4027.0,5.3,DE,Medium
CN1000300000000,10.0,3.0,"New Castle County, DE",2015.0,289489.0,276051.0,13438.0,4.6,DE,Medium
CN1000500000000,10.0,5.0,"Sussex County, DE",2015.0,97463.0,92732.0,4731.0,4.9,DE,Medium
CN1200100000000,12.0,1.0,"Alachua County, FL",2015.0,129993.0,123941.0,6052.0,4.7,FL,Medium
CN1200300000000,12.0,3.0,"Baker County, FL",2015.0,11217.0,10584.0,633.0,5.6,FL,Medium
CN1200500000000,12.0,5.0,"Bay County, FL",2015.0,87884.0,83026.0,4858.0,5.5,FL,Medium
CN1200700000000,12.0,7.0,"Bradford County, FL",2015.0,10786.0,10260.0,526.0,4.9,FL,Medium
CN1200900000000,12.0,9.0,"Brevard County, FL",2015.0,257457.0,241882.0,15575.0,6.0,FL,Medium
CN1201100000000,12.0,11.0,"Broward County, FL",2015.0,992033.0,940668.0,51365.0,5.2,FL,Medium
CN1201300000000,12.0,13.0,"Calhoun County, FL",2015.0,4960.0,4654.0,306.0,6.2,FL,Medium
CN1201500000000,12.0,15.0,"Charlotte County, FL",2015.0,67928.0,63810.0,4118.0,6.1,FL,Medium
CN1201700000000,12.0,17.0,"Citrus County, FL",2015.0,48006.0,44364.0,3642.0,7.6,FL,Medium
CN1201900000000,12.0,19.0,"Clay County, FL",2015.0,98837.0,93804.0,5033.0,5.1,FL,Medium
CN1202100000000,12.0,21.0,"Collier County, FL",2015.0,164330.0,155607.0,8723.0,5.3,FL,Medium
CN1202300000000,12.0,23.0,"Columbia County, FL",2015.0,29089.0,27474.0,1615.0,5.6,FL,Medium
CN1202700000000,12.0,27.0,"DeSoto County, FL",2015.0,13431.0,12643.0,788.0,5.9,FL,Medium
CN1202900000000,12.0,29.0,"Dixie County, FL",2015.0,5609.0,5256.0,353.0,6.3,FL,Medium
CN1203100000000,12.0,31.0,"Duval County, FL",2015.0,462381.0,435287.0,27094.0,5.9,FL,Medium
CN1203300000000,12.0,33.0,"Escambia County, FL",2015.0,138671.0,130843.0,7828.0,5.6,FL,Medium
CN1203500000000,12.0,35.0,"Flagler County, FL",2015.0,43845.0,41064.0,2781.0,6.3,FL,Medium
CN1203700000000,12.0,37.0,"Franklin County, FL",2015.0,4791.0,4563.0,228.0,4.8,FL,Medium
CN1203900000000,12.0,39.0,"Gadsden County, FL",2015.0,18285.0,16957.0,1328.0,7.3,FL,Medium
CN1204100000000,12.0,41.0,"Gilchrist County, FL",2015.0,6524.0,6151.0,373.0,5.7,FL,Medium
CN1204300000000,12.0,43.0,"Glades County, FL",2015.0,4729.0,4388.0,341.0,7.2,FL,Medium
CN1204500000000,12.0,45.0,"Gulf County, FL",2015.0,6019.0,5699.0,320.0,5.3,FL,Medium
CN1204700000000,12.0,47.0,"Hamilton County, FL",2015.0,4540.0,4243.0,297.0,6.5,FL,Medium
CN1204900000000,12.0,49.0,"Hardee County, FL",2015.0,10131.0,9416.0,715.0,7.1,FL,Medium
CN1205100000000,12.0,51.0,"Hendry County, FL",2015.0,15162.0,13535.0,1627.0,10.7,FL,High
CN1205300000000,12.0,53.0,"Hernando County, FL",2015.0,66373.0,61707.0,4666.0,7.0,FL,Medium
CN1205500000000,12.0,55.0,"Highlands County, FL",2015.0,35485.0,32799.0,2686.0,7.6,FL,Medium
CN1205700000000,12.0,57.0,"Hillsborough County, FL",2015.0,692032.0,656690.0,35342.0,5.1,FL,Medium
CN1205900000000,12.0,59.0,"Holmes County, FL",2015.0,6718.0,6301.0,417.0,6.2,FL,Medium
CN1206100000000,12.0,61.0,"Indian River County, FL",2015.0,61460.0,57212.0,4248.0,6.9,FL,Medium
CN1206300000000,12.0,63.0,"Jackson County, FL",2015.0,17379.0,16345.0,1034.0,5.9,FL,Medium
CN1206500000000,12.0,65.0,"Jefferson County, FL",2015.0,5395.0,5071.0,324.0,6.0,FL,Medium
CN1206700000000,12.0,67.0,"Lafayette County, FL",2015.0,3217.0,3068.0,149.0,4.6,FL,Medium
CN1206900000000,12.0,69.0,"Lake County, FL",2015.0,141343.0,133475.0,7868.0,5.6,FL,Medium
CN1207100000000,12.0,71.0,"Lee County, FL",2015.0,320586.0,303892.0,16694.0,5.2,FL,Medium
CN1207300000000,12.0,73.0,"Leon County, FL",2015.0,148125.0,140607.0,7518.0,5.1,FL,Medium
CN1207500000000,12.0,75.0,"Levy County, FL",2015.0,16510.0,15547.0,963.0,5.8,FL,Medium
CN1207700000000,12.0,77.0,"Liberty County, FL",2015.0,2648.0,2491.0,157.0,5.9,FL,Medium
CN1207900000000,12.0,79.0,"Madison County, FL",2015.0,7504.0,7039.0,465.0,6.2,FL,Medium
CN1208100000000,12.0,81.0,"Manatee County, FL",2015.0,165527.0,157051.0,8476.0,5.1,FL,Medium
CN1208300000000,12.0,83.0,"Marion County, FL",2015.0,130698.0,122131.0,8567.0,6.6,FL,Medium
CN1208500000000,12.0,85.0,"Martin County, FL",2015.0,69769.0,65987.0,3782.0,5.4,FL,Medium
CN1208600000000,12.0,86.0,"Miami-Dade County, FL",2015.0,1295273.0,1215857.0,79416.0,6.1,FL,Medium
CN1208700000000,12.0,87.0,"Monroe County, FL",2015.0,45948.0,44332.0,1616.0,3.5,FL,Low
CN1208900000000,12.0,89.0,"Nassau County, FL",2015.0,36703.0,34798.0,1905.0,5.2,FL,Medium
CN1209100000000,12.0,91.0,"Okaloosa County, FL",2015.0,92079.0,87870.0,4209.0,4.6,FL,Medium
CN1209300000000,12.0,93.0,"Okeechobee County, FL",2015.0,17318.0,16216.0,1102.0,6.4,FL,Medium
CN1209500000000,12.0,95.0,"Orange County, FL",2015.0,688737.0,653788.0,34949.0,5.1,FL,Medium
CN1209700000000,12.0,97.0,"Osceola County, FL",2015.0,157892.0,148689.0,9203.0,5.8,FL,Medium
CN1209900000000,12.0,99.0,"Palm Beach County, FL",2015.0,693582.0,657771.0,35811.0,5.2,FL,Medium
CN1210100000000,12.0,101.0,"Pasco County, FL",2015.0,216242.0,203402.0,12840.0,5.9,FL,Medium
CN1210300000000,12.0,103.0,"Pinellas County, FL",2015.0,472466.0,448842.0,23624.0,5.0,FL,Medium
CN1210500000000,12.0,105.0,"Polk County, FL",2015.0,281059.0,263119.0,17940.0,6.4,FL,Medium
CN1210700000000,12.0,107.0,"Putnam County, FL",2015.0,27376.0,25266.0,2110.0,7.7,FL,Medium
CN1210900000000,12.0,109.0,"St. Johns County, FL",2015.0,113798.0,109271.0,4527.0,4.0,FL,Low
CN1211100000000,12.0,111.0,"St. Lucie County, FL",2015.0,131823.0,123346.0,8477.0,6.4,FL,Medium
CN1211300000000,12.0,113.0,"Santa Rosa County, FL",2015.0,74246.0,70622.0,3624.0,4.9,FL,Medium
CN1211500000000,12.0,115.0,"Sarasota County, FL",2015.0,178504.0,169363.0,9141.0,5.1,FL,Medium
CN1211700000000,12.0,117.0,"Seminole County, FL",2015.0,237549.0,225741.0,11808.0,5.0,FL,Medium
CN1211900000000,12.0,119.0,"Sumter County, FL",2015.0,28750.0,26518.0,2232.0,7.8,FL,Medium
CN1212100000000,12.0,121.0,"Suwannee County, FL",2015.0,18005.0,17014.0,991.0,5.5,FL,Medium
CN1212300000000,12.0,123.0,"Taylor County, FL",2015.0,9015.0,8404.0,611.0,6.8,FL,Medium
CN1212500000000,12.0,125.0,"Union County, FL",2015.0,4753.0,4520.0,233.0,4.9,FL,Medium
CN1212700000000,12.0,127.0,"Volusia County, FL",2015.0,239604.0,225449.0,14155.0,5.9,FL,Medium
CN1212900000000,12.0,129.0,"Wakulla County, FL",2015.0,14013.0,13353.0,660.0,4.7,FL,Medium
CN1213100000000,12.0,131.0,"Walton County, FL",2015.0,27949.0,26623.0,1326.0,4.7,FL,Medium
CN1213300000000,12.0,133.0,"Washington County, FL",2015.0,9648.0,9068.0,580.0,6.0,FL,Medium
CN1300100000000,13.0,1.0,"Appling County, GA",2015.0,8578.0,7940.0,638.0,7.4,GA,Medium
CN1300300000000,13.0,3.0,"Atkinson County, GA",2015.0,3821.0,3598.0,223.0,5.8,GA,Medium
CN1300500000000,13.0,5.0,"Bacon County, GA",2015.0,4840.0,4557.0,283.0,5.8,GA,Medium
CN1300700000000,13.0,7.0,"Baker County, GA",2015.0,1111.0,1029.0,82.0,7.4,GA,Medium
CN1300900000000,13.0,9.0,"Baldwin County, GA",2015.0,17554.0,16186.0,1368.0,7.8,GA,Medium
CN1301100000000,13.0,11.0,"Banks County, GA",2015.0,8127.0,7666.0,461.0,5.7,GA,Medium
CN1301300000000,13.0,13.0,"Barrow County, GA",2015.0,35704.0,33793.0,1911.0,5.4,GA,Medium
CN1301500000000,13.0,15.0,"Bartow County, GA",2015.0,46322.0,43548.0,2774.0,6.0,GA,Medium
CN1301700000000,13.0,17.0,"Ben Hill County, GA",2015.0,5418.0,4922.0,496.0,9.2,GA,High
CN1301900000000,13.0,19.0,"Berrien County, GA",2015.0,6966.0,6458.0,508.0,7.3,GA,Medium
CN1302100000000,13.0,21.0,"Bibb County, GA",2015.0,67167.0,62617.0,4550.0,6.8,GA,Medium
CN1302300000000,13.0,23.0,"Bleckley County, GA",2015.0,4323.0,3948.0,375.0,8.7,GA,High
CN1302500000000,13.0,25.0,"Brantley County, GA",2015.0,6830.0,6311.0,519.0,7.6,GA,Medium
CN1302700000000,13.0,27.0,"Brooks County, GA",2015.0,6805.0,6386.0,419.0,6.2,GA,Medium
CN1302900000000,13.0,29.0,"Bryan County, GA",2015.0,15962.0,15109.0,853.0,5.3,GA,Medium
CN1303100000000,13.0,31.0,"Bulloch County, GA",2015.0,34344.0,32226.0,2118.0,6.2,GA,Medium
CN1303300000000,13.0,33.0,"Burke County, GA",2015.0,9031.0,8285.0,746.0,8.3,GA,High
CN1303500000000,13.0,35.0,"Butts County, GA",2015.0,10012.0,9335.0,677.0,6.8,GA,Medium
CN1303700000000,13.0,37.0,"Calhoun County, GA",2015.0,2105.0,1972.0,133.0,6.3,GA,Medium
CN1303900000000,13.0,39.0,"Camden County, GA",2015.0,22048.0,20804.0,1244.0,5.6,GA,Medium
CN1304300000000,13.0,43.0,"Candler County, GA",2015.0,4910.0,4626.0,284.0,5.8,GA,Medium
CN1304500000000,13.0,45.0,"Carroll County, GA",2015.0,51208.0,47706.0,3502.0,6.8,GA,Medium
CN1304700000000,13.0,47.0,"Catoosa County, GA",2015.0,31012.0,29364.0,1648.0,5.3,GA,Medium
CN1304900000000,13.0,49.0,"Charlton County, GA",2015.0,4713.0,4407.0,306.0,6.5,GA,Medium
CN1305100000000,13.0,51.0,"Chatham County, GA",2015.0,131745.0,123904.0,7841.0,6.0,GA,Medium
CN1305300000000,13.0,53.0,"Chattahoochee County, GA",2015.0,2087.0,1901.0,186.0,8.9,GA,High
CN1305500000000,13.0,55.0,"Chattooga County, GA",2015.0,10432.0,9777.0,655.0,6.3,GA,Medium
CN1305700000000,13.0,57.0,"Cherokee County, GA",2015.0,118953.0,113293.0,5660.0,4.8,GA,Medium
CN1305900000000,13.0,59.0,"Clarke County, GA",2015.0,56485.0,52987.0,3498.0,6.2,GA,Medium
CN1306100000000,13.0,61.0,"Clay County, GA",2015.0,851.0,749.0,102.0,12.0,GA,High
CN1306300000000,13.0,63.0,"Clayton County, GA",2015.0,124988.0,115296.0,9692.0,7.8,GA,Medium
CN1306500000000,13.0,65.0,"Clinch County, GA",2015.0,2742.0,2546.0,196.0,7.1,GA,Medium
CN1306700000000,13.0,67.0,"Cobb County, GA",2015.0,393682.0,373383.0,20299.0,5.2,GA,Medium
CN1306900000000,13.0,69.0,"Coffee County, GA",2015.0,17096.0,15926.0,1170.0,6.8,GA,Medium
CN1307100000000,13.0,71.0,"Colquitt County, GA",2015.0,19823.0,18535.0,1288.0,6.5,GA,Medium
CN1307300000000,13.0,73.0,"Columbia County, GA",2015.0,67851.0,64390.0,3461.0,5.1,GA,Medium
CN1307500000000,13.0,75.0,"Cook County, GA",2015.0,7206.0,6716.0,490.0,6.8,GA,Medium
CN1307700000000,13.0,77.0,"Coweta County, GA",2015.0,67073.0,63448.0,3625.0,5.4,GA,Medium
CN1307900000000,13.0,79.0,"Crawford County, GA",2015.0,5514.0,5160.0,354.0,6.4,GA,Medium
CN1308100000000,13.0,81.0,"Crisp County, GA",2015.0,9320.0,8671.0,649.0,7.0,GA,Medium
CN1308300000000,13.0,83.0,"Dade County, GA",2015.0,7761.0,7329.0,432.0,5.6,GA,Medium
CN1308500000000,13.0,85.0,"Dawson County, GA",2015.0,10818.0,10256.0,562.0,5.2,GA,Medium
CN1308700000000,13.0,87.0,"Decatur County, GA",2015.0,11265.0,10486.0,779.0,6.9,GA,Medium
CN1308900000000,13.0,89.0,"DeKalb County, GA",2015.0,368863.0,346210.0,22653.0,6.1,GA,Medium
CN1309100000000,13.0,91.0,"Dodge County, GA",2015.0,6881.0,6295.0,586.0,8.5,GA,High
CN1309300000000,13.0,93.0,"Dooly County, GA",2015.0,4705.0,4344.0,361.0,7.7,GA,Medium
CN1309500000000,13.0,95.0,"Dougherty County, GA",2015.0,37460.0,34519.0,2941.0,7.9,GA,Medium
CN1309700000000,13.0,97.0,"Douglas County, GA",2015.0,67568.0,63209.0,4359.0,6.5,GA,Medium
CN1309900000000,13.0,99.0,"Early County, GA",2015.0,4309.0,4005.0,304.0,7.1,GA,Medium
CN1310100000000,13.0,101.0,"Echols County, GA",2015.0,1844.0,1756.0,88.0,4.8,GA,Medium
CN1310300000000,13.0,103.0,"Effingham County, GA",2015.0,26854.0,25458.0,1396.0,5.2,GA,Medium
CN1310500000000,13.0,105.0,"Elbert County, GA",2015.0,7529.0,6960.0,569.0,7.6,GA,Medium
CN1310700000000,13.0,107.0,"Emanuel County, GA",2015.0,8227.0,7495.0,732.0,8.9,GA,High
CN1310900000000,13.0,109.0,"Evans County, GA",2015.0,4610.0,4348.0,262.0,5.7,GA,Medium
CN1311100000000,13.0,111.0,"Fannin County, GA",2015.0,9999.0,9369.0,630.0,6.3,GA,Medium
CN1311300000000,13.0,113.0,"Fayette County, GA",2015.0,53538.0,50712.0,2826.0,5.3,GA,Medium
CN1311500000000,13.0,115.0,"Floyd County, GA",2015.0,42497.0,39611.0,2886.0,6.8,GA,Medium
CN1311700000000,13.0,117.0,"Forsyth County, GA",2015.0,103197.0,98435.0,4762.0,4.6,GA,Medium
CN1311900000000,13.0,119.0,"Franklin County, GA",2015.0,9180.0,8594.0,586.0,6.4,GA,Medium
CN1312100000000,13.0,121.0,"Fulton County, GA",2015.0,508815.0,477884.0,30931.0,6.1,GA,Medium
CN1312300000000,13.0,123.0,"Gilmer County, GA",2015.0,11589.0,10877.0,712.0,6.1,GA,Medium
CN1312500000000,13.0,125.0,"Glascock County, GA",2015.0,1219.0,1137.0,82.0,6.7,GA,Medium
CN1312700000000,13.0,127.0,"Glynn County, GA",2015.0,37264.0,34962.0,2302.0,6.2,GA,Medium
CN1312900000000,13.0,129.0,"Gordon County, GA",2015.0,25856.0,24302.0,1554.0,6.0,GA,Medium
CN1313100000000,13.0,131.0,"Grady County, GA",2015.0,10304.0,9673.0,631.0,6.1,GA,Medium
CN1313300000000,13.0,133.0,"Greene County, GA",2015.0,6751.0,6296.0,455.0,6.7,GA,Medium
CN1313500000000,13.0,135.0,"Gwinnett County, GA",2015.0,447227.0,423631.0,23596.0,5.3,GA,Medium
CN1313700000000,13.0,137.0,"Habersham County, GA",2015.0,18602.0,17519.0,1083.0,5.8,GA,Medium
CN1313900000000,13.0,139.0,"Hall County, GA",2015.0,91705.0,87171.0,4534.0,4.9,GA,Medium
CN1314100000000,13.0,141.0,"Hancock County, GA",2015.0,2461.0,2216.0,245.0,10.0,GA,High
CN1314300000000,13.0,143.0,"Haralson County, GA",2015.0,11736.0,10955.0,781.0,6.7,GA,Medium
CN1314500000000,13.0,145.0,"Harris County, GA",2015.0,15520.0,14692.0,828.0,5.3,GA,Medium
CN1314700000000,13.0,147.0,"Hart County, GA",2015.0,10284.0,9635.0,649.0,6.3,GA,Medium
CN1314900000000,13.0,149.0,"Heard County, GA",2015.0,4856.0,4539.0,317.0,6.5,GA,Medium
CN1315100000000,13.0,151.0,"Henry County, GA",2015.0,103843.0,97333.0,6510.0,6.3,GA,Medium
CN1315300000000,13.0,153.0,"Houston County, GA",2015.0,64936.0,61086.0,3850.0,5.9,GA,Medium
CN1315500000000,13.0,155.0,"Irwin County, GA",2015.0,3100.0,2836.0,264.0,8.5,GA,High
CN1315700000000,13.0,157.0,"Jackson County, GA",2015.0,30386.0,28890.0,1496.0,4.9,GA,Medium
CN1315900000000,13.0,159.0,"Jasper County, GA",2015.0,6367.0,6010.0,357.0,5.6,GA,Medium
CN1316100000000,13.0,161.0,"Jeff Davis County, GA",2015.0,6272.0,5847.0,425.0,6.8,GA,Medium
CN1316300000000,13.0,163.0,"Jefferson County, GA",2015.0,6298.0,5719.0,579.0,9.2,GA,High
CN1316500000000,13.0,165.0,"Jenkins County, GA",2015.0,3071.0,2811.0,260.0,8.5,GA,High
CN1316700000000,13.0,167.0,"Johnson County, GA",2015.0,3829.0,3556.0,273.0,7.1,GA,Medium
CN1316900000000,13.0,169.0,"Jones County, GA",2015.0,13322.0,12574.0,748.0,5.6,GA,Medium
CN1317100000000,13.0,171.0,"Lamar County, GA",2015.0,7597.0,7003.0,594.0,7.8,GA,Medium
CN1317300000000,13.0,173.0,"Lanier County, GA",2015.0,3740.0,3486.0,254.0,6.8,GA,Medium
CN1317500000000,13.0,175.0,"Laurens County, GA",2015.0,18434.0,17018.0,1416.0,7.7,GA,Medium
CN1317700000000,13.0,177.0,"Lee County, GA",2015.0,13967.0,13211.0,756.0,5.4,GA,Medium
CN1317900000000,13.0,179.0,"Liberty County, GA",2015.0,24690.0,23103.0,1587.0,6.4,GA,Medium
CN1318100000000,13.0,181.0,"Lincoln County, GA",2015.0,3327.0,3099.0,228.0,6.9,GA,Medium
CN1318300000000,13.0,183.0,"Long County, GA",2015.0,7005.0,6587.0,418.0,6.0,GA,Medium
CN1318500000000,13.0,185.0,"Lowndes County, GA",2015.0,49790.0,46796.0,2994.0,6.0,GA,Medium
CN1318700000000,13.0,187.0,"Lumpkin County, GA",2015.0,15145.0,14312.0,833.0,5.5,GA,Medium
CN1318900000000,13.0,189.0,"McDuffie County, GA",2015.0,8690.0,7954.0,736.0,8.5,GA,High
CN1319100000000,13.0,191.0,"McIntosh County, GA",2015.0,5753.0,5373.0,380.0,6.6,GA,Medium
CN1319300000000,13.0,193.0,"Macon County, GA",2015.0,4567.0,4140.0,427.0,9.3,GA,High
CN1319500000000,13.0,195.0,"Madison County, GA",2015.0,12481.0,11776.0,705.0,5.6,GA,Medium
CN1319700000000,13.0,197.0,"Marion County, GA",2015.0,3407.0,3115.0,292.0,8.6,GA,High
CN1319900000000,13.0,199.0,"Meriwether County, GA",2015.0,8576.0,7877.0,699.0,8.2,GA,High
CN1320100000000,13.0,201.0,"Miller County, GA",2015.0,2639.0,2494.0,145.0,5.5,GA,Medium
CN1320500000000,13.0,205.0,"Mitchell County, GA",2015.0,8619.0,8029.0,590.0,6.8,GA,Medium
CN1320700000000,13.0,207.0,"Monroe County, GA",2015.0,12526.0,11784.0,742.0,5.9,GA,Medium
CN1320900000000,13.0,209.0,"Montgomery County, GA",2015.0,3671.0,3347.0,324.0,8.8,GA,High
CN1321100000000,13.0,211.0,"Morgan County, GA",2015.0,8324.0,7860.0,464.0,5.6,GA,Medium
CN1321300000000,13.0,213.0,"Murray County, GA",2015.0,15891.0,14700.0,1191.0,7.5,GA,Medium
CN1321500000000,13.0,215.0,"Muscogee County, GA",2015.0,78024.0,72100.0,5924.0,7.6,GA,Medium
CN1321700000000,13.0,217.0,"Newton County, GA",2015.0,47891.0,44597.0,3294.0,6.9,GA,Medium
CN1321900000000,13.0,219.0,"Oconee County, GA",2015.0,17385.0,16602.0,783.0,4.5,GA,Low
CN1322100000000,13.0,221.0,"Oglethorpe County, GA",2015.0,6650.0,6275.0,375.0,5.6,GA,Medium
CN1322300000000,13.0,223.0,"Paulding County, GA",2015.0,75454.0,71460.0,3994.0,5.3,GA,Medium
CN1322500000000,13.0,225.0,"Peach County, GA",2015.0,11163.0,10263.0,900.0,8.1,GA,High
CN1322700000000,13.0,227.0,"Pickens County, GA",2015.0,13716.0,12972.0,744.0,5.4,GA,Medium
CN1322900000000,13.0,229.0,"Pierce County, GA",2015.0,7954.0,7449.0,505.0,6.3,GA,Medium
CN1323100000000,13.0,231.0,"Pike County, GA",2015.0,8134.0,7660.0,474.0,5.8,GA,Medium
CN1323300000000,13.0,233.0,"Polk County, GA",2015.0,17945.0,16736.0,1209.0,6.7,GA,Medium
CN1323500000000,13.0,235.0,"Pulaski County, GA",2015.0,3968.0,3702.0,266.0,6.7,GA,Medium
CN1323700000000,13.0,237.0,"Putnam County, GA",2015.0,7716.0,7082.0,634.0,8.2,GA,High
